source_url,target_url,gsc_evidence_status,gsc_clicks,gsc_impressions,gsc_ai_evidence_status,gsc_ai_impressions,backlinks_status,conversion_status,manual_content_review,decision,rollback
/content/careless-driving-ticket-calgary-multiple-tickets,/content/careless-driving-ticket-alberta,not_present_in_export,,,not_present_in_ai_export,,gsc_site_report_zero_external_links_not_url_specific,ga4_historical_conversion_data_unavailable,generic_fallback_no_unique_scenario_detail,301_pilot,remove_policy_and_regenerate_sitemaps
/content/careless-driving-ticket-calgary-officer-error,/content/careless-driving-ticket-alberta,not_present_in_export,,,not_present_in_ai_export,,gsc_site_report_zero_external_links_not_url_specific,ga4_historical_conversion_data_unavailable,generic_fallback_no_unique_scenario_detail,301_pilot,remove_policy_and_regenerate_sitemaps
/content/careless-driving-ticket-calgary-out-of-province,/content/careless-driving-ticket-alberta,not_present_in_export,,,not_present_in_ai_export,,gsc_site_report_zero_external_links_not_url_specific,ga4_historical_conversion_data_unavailable,generic_fallback_no_unique_scenario_detail,301_pilot,remove_policy_and_regenerate_sitemaps
/content/careless-driving-ticket-calgary-photo-radar,/content/careless-driving-ticket-alberta,observed_page_row,0,1,not_present_in_ai_export,,gsc_site_report_zero_external_links_not_url_specific,ga4_historical_conversion_data_unavailable,generic_fallback_no_unique_scenario_detail,301_pilot,remove_policy_and_regenerate_sitemaps
/content/careless-driving-ticket-edmonton-photo-radar,/content/careless-driving-ticket-alberta,not_present_in_export,,,not_present_in_ai_export,,gsc_site_report_zero_external_links_not_url_specific,ga4_historical_conversion_data_unavailable,generic_fallback_no_unique_scenario_detail,301_pilot,remove_policy_and_regenerate_sitemaps
/content/careless-driving-ticket-fort-mcmurray-multiple-tickets,/content/careless-driving-ticket-alberta,not_present_in_export,,,not_present_in_ai_export,,gsc_site_report_zero_external_links_not_url_specific,ga4_historical_conversion_data_unavailable,generic_fallback_no_unique_scenario_detail,301_pilot,remove_policy_and_regenerate_sitemaps
/content/careless-driving-ticket-fort-mcmurray-officer-error,/content/careless-driving-ticket-alberta,not_present_in_export,,,not_present_in_ai_export,,gsc_site_report_zero_external_links_not_url_specific,ga4_historical_conversion_data_unavailable,generic_fallback_no_unique_scenario_detail,301_pilot,remove_policy_and_regenerate_sitemaps
/content/careless-driving-ticket-fort-mcmurray-out-of-province,/content/careless-driving-ticket-alberta,not_present_in_export,,,not_present_in_ai_export,,gsc_site_report_zero_external_links_not_url_specific,ga4_historical_conversion_data_unavailable,generic_fallback_no_unique_scenario_detail,301_pilot,remove_policy_and_regenerate_sitemaps
/content/careless-driving-ticket-fort-mcmurray-photo-radar,/content/careless-driving-ticket-alberta,observed_page_row,0,2,not_present_in_ai_export,,gsc_site_report_zero_external_links_not_url_specific,ga4_historical_conversion_data_unavailable,generic_fallback_no_unique_scenario_detail,301_pilot,remove_policy_and_regenerate_sitemaps
/content/careless-driving-ticket-lethbridge-multiple-tickets,/content/careless-driving-ticket-alberta,not_present_in_export,,,not_present_in_ai_export,,gsc_site_report_zero_external_links_not_url_specific,ga4_historical_conversion_data_unavailable,generic_fallback_no_unique_scenario_detail,301_pilot,remove_policy_and_regenerate_sitemaps
/content/careless-driving-ticket-lethbridge-officer-error,/content/careless-driving-ticket-alberta,not_present_in_export,,,not_present_in_ai_export,,gsc_site_report_zero_external_links_not_url_specific,ga4_historical_conversion_data_unavailable,generic_fallback_no_unique_scenario_detail,301_pilot,remove_policy_and_regenerate_sitemaps
